FORM,WEAPON,ELEMENT,ANIMAL,SPECIAL BODY PART,COLORS,OCCUPATION,LOCATION ,NATURE,MISC,POS PERSONALITY,NUE PERSONALITY,NEG PERSONALITY,TROPE
,,,,,,STOCKBROKER - FINANCIAL SERVICES,SMITHSONIAN'S NATIONAL AIR AND SPACE MUSEUM,,,,,,
,,,,,,STONEMASON - CONSTRUCTION CRAFTS,SMITHY,,,,,,
,,,,,,STORE DETECTIVE - POLICE AND SECURITY WORK,SODA SHOP,,,,,,
,,,,,,STORYBOARD ARTIST - FINE ART OR GRAPHIC DESIGN,SOUTH STREET SEAPORT,,,,,,
,,,,,,STREET CLEANING OPERATIVE - GENERAL SERVICES,SPACE CENTER HOUSTON,,,,,,
,,,,,,STRUCTURAL ENGINEER - CIVIL AND STRUCTURAL ENGINEERING,SPACE NEEDLE,,,,,,
,,,,,,STRUCTURAL ENGINEERING TECHNICIAN - CIVIL AND STRUCTURAL ENGINEERING,SPACE STATION,,,,,,
,,,,,,STUDENT.,SPAIN,,,,,,
,,,,,,STUNT PERFORMER - DRAMA AND THEATRE TECHNOLOGY,SPANISH STEPS,,,,,,
,,,,,,SUB-EDITOR — JOURNALISM - JOURNALISM,"SPARRING HALL, DOJO, TRAINING HALL",,,,,,
,,,,,,SUBSEA ENGINEER - OFFSHORE AND ENERGY,SPORTING GOODS STORE,,,,,,
,,,,,,SUPERMARKET ASSISTANT - RETAIL AND SALES,SPRINGFIELD,,,,,,
,,,,,,SURGEON - MEDICINE AND SURGERY,"SQUARE (+ MARKET, PUBLIC, TOWN)",,,,,,
,,,,,,SURVEYOR - BUILDING - SURVEYING,ST. BASIL'S CATHEDRAL,,,,,,
,,,,,,SURVEYOR - HYDROGRAPHIC - SURVEYING,ST. PAUL'S CATHEDRAL,,,,,,
,,,,,,SURVEYOR - LAND OR GEOMATICS - SURVEYING,ST. PETER'S BASILICA,,,,,,
,,,,,,SURVEYOR - MINERALS OR WASTE MANAGEMENT - SURVEYING,STABLES,,,,,,
,,,,,,SURVEYOR - PLANNING AND DEVELOPMENT - SURVEYING,STADIUM,,,,,,
,,,,,,SURVEYOR - QUANTITY - SURVEYING,STAIR,,,,,,
,,,,,,SURVEYOR - RURAL PRACTICE - SURVEYING - ENVIRONMENTAL AND RURAL RESOURCE MANAGEMENT,STATIONERY STORE,,,,,,
,,,,,,SURVEYOR - VALUATION - SURVEYING,"STATUE (IDOL, LARGE, GIANT, GUARDIAN, MONUMENT)",,,,,,
,,,,,,SWIMMING TEACHER - SPORT AND FITNESS,STATUE OF LIBERTY,,,,,,
,,,,,,SYSTEMS ANALYST - SYSTEMS AND NETWORKS,"STEADING (FARMSTEAD, HOMESTEAD)",,,,,,
,,,,,,TAILOR OR DRESSMAKER - FASHION OR TEXTILE DESIGN,STOCKADE,,,,,,
,,,,,,TATTOOIST - BEAUTY,STOCKYARD,,,,,,
,,,,,,TAX OFFICER - PUBLIC SERVICES ADMINISTRATION,STONEHENGE,,,,,,
,,,,,,TAXI OR CAR DRIVER - ROAD TRANSPORT,STORE,,,,,,
,,,,,,TEACHER - ADDITIONAL SUPPORT FOR LEARNING - EDUCATION SUPPORT,"STOREHOUSE, WAREHOUSE",,,,,,
,,,,,,TEACHER - PRIMARY OR EARLY YEARS - PRIMARY SCHOOL TEACHING,STREET,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - ART AND DESIGN - SECONDARY SCHOOL TEACHING - FINE ART OR GRAPHIC DESIGN,"STREET VENDORS ( ALCOVE, BOOTH, CART, STALL, STAND, TENT)",,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - BIOLOGY WITH SCIENCE - SECONDARY SCHOOL TEACHING - BIOLOGY,STRONGHOLD,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - BUSINESS EDUCATION - SECONDARY SCHOOL TEACHING - ADMINISTRATION AND MANAGEMENT GENERAL,SUBMARINE,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - CHEMISTRY WITH SCIENCE - SECONDARY SCHOOL TEACHING - CHEMISTRY AND MATERIALS SCIENCE,"SUMMER PALACE, AN IMPERIAL GARDEN IN BEIJING",,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - COMPUTING - SECONDARY SCHOOL TEACHING - COMPUTING GENERAL,"SUNKEN (CITY, RUINS, SHIP, TEMPLE)",,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - DESIGN AND TECHNOLOGY/TECHNOLOGICAL EDUCATION - SECONDARY SCHOOL TEACHING - ENGINEERING GENERAL - 3 DIMENSIONAL DESIGN,SUPER MARKET,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - DRAMA - SECONDARY SCHOOL TEACHING - DRAMA AND THEATRE TECHNOLOGY,SUPPLY POST,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - ENGLISH - SECONDARY SCHOOL TEACHING - ENGLISH,SWAMP,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - GAELIC - SECONDARY SCHOOL TEACHING - LANGUAGES,SWEAT SHOP,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - GEOGRAPHY - SECONDARY SCHOOL TEACHING - EARTH STUDIES,SWITZERLAND,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - HISTORY - SECONDARY SCHOOL TEACHING - HISTORY,SYDNEY HARBOR BRIDGE,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - HOME ECONOMICS - SECONDARY SCHOOL TEACHING - FASHION OR TEXTILE DESIGN - FOOD SCIENCE AND TECHNOLOGY,SYDNEY OPERA HOUSE,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - MATHEMATICS - SECONDARY SCHOOL TEACHING - MATHEMATICS AND STATISTICS,"SYMBOL (COAT OF ARMS, EMBLEM, FLAG, RITUAL CIRCLE, RUNE, SEAL, SIGIL, SYMBOL, WARD)",,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - MODERN FOREIGN LANGUAGES - SECONDARY SCHOOL TEACHING - LANGUAGES,TAILOR,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - MODERN STUDIES - SECONDARY SCHOOL TEACHING - POLITICS - SOCIOLOGY,TAJ MAHAL,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - MUSIC - SECONDARY SCHOOL TEACHING - MUSIC,TANNING SALON,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - PHYSICAL EDUCATION - SECONDARY SCHOOL TEACHING - SPORT AND FITNESS,TAPHOUSE (INN / TAVERN WITH LIQUOR ON TAP),,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - PHYSICS WITH SCIENCE - SECONDARY SCHOOL TEACHING - PHYSICS,TAVERN,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - RELIGIOUS EDUCATION - SECONDARY SCHOOL TEACHING - RELIGION,TAX ADVISOR,,,,,,
,,,,,,TEACHER - SECONDARY SCHOOL - SECONDARY SCHOOL TEACHING,TEA HOUSE,,,,,,
,,,,,,TEACHER OF ENGLISH AS A FOREIGN LANGUAGE - TEACHING - OTHER,TEAROOM,,,,,,
,,,,,,TECHNICAL AUTHOR - PUBLISHING AND WRITING,TEMPLE,,,,,,
,,,,,,TECHNICAL BREWER - FOOD SCIENCE AND TECHNOLOGY,"TENT CITY (+ MERCHANT, MILITARY, NOMADS, PILGRIMS, REFUGEE, SETTLERS, SQUATTERS)",,,,,,
,,,,,,TECHNICAL DISTILLER - FOOD SCIENCE AND TECHNOLOGY,TERRACOTTA WARRIORS,,,,,,
,,,,,,TECHNICAL SURVEYOR - SURVEYING,"THE FORBIDDEN CITY, CHINA",,,,,,
,,,,,,TELECOMMUNICATIONS ENGINEER - ELECTRICAL AND ELECTRONIC ENGINEERING,THE GRAND CANYON,,,,,,
,,,,,,TEXTILE DESIGNER - FASHION OR TEXTILE DESIGN,THE GREAT SPHINX,,,,,,
,,,,,,TEXTILE OPERATIVE - CLOTHING AND TEXTILES,"THE NATIONAL WWII MUSEUM, NEW ORLEANS",,,,,,
,,,,,,TEXTILE TECHNOLOGIST - CLOTHING AND TEXTILES,THE PAINTED CANYON,,,,,,
,,,,,,THEATRE SUPPORT WORKER - MEDICAL TECHNOLOGY,THE PAUL REVERE HOUSE,,,,,,
,,,,,,THERMAL INSULATION ENGINEER - CONSTRUCTION CRAFTS,THE RED CARPET,,,,,,
,,,,,,THIEF,THE WHITE HOUSE,,,,,,
,,,,,,THUG,THEATER,,,,,,
,,,,,,TOOLMAKER - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING),THEATER HOUSE,,,,,,
,,,,,,TOOLPUSHER - OFFSHORE AND ENERGY,THOMAS JEFFERSON MEMORIAL,,,,,,
,,,,,,TOUR GUIDE - TRAVEL AND TOURISM,THRIFT STORE,,,,,,
,,,,,,TOUR LEADER OR MANAGER - TRAVEL AND TOURISM,TIMES SQUARE,,,,,,
,,,,,,TOWN PLANNER - TOWN AND REGIONAL PLANNING,"TOBASCO TOUR, AVERY ISLAND",,,,,,
,,,,,,TOWN PLANNING ASSISTANT OR TECHNICIAN - TOWN AND REGIONAL PLANNING,TOKYO TOWER,,,,,,
,,,,,,TRACK MAINTENANCE OPERATIVE - RAIL TRANSPORT,TOMB,,,,,,
,,,,,,TRADE UNION OFFICIAL - PUBLIC SERVICES ADMINISTRATION,TOMB OF THE UNKNOWN SOLDIER,,,,,,
,,,,,,TRADING STANDARDS OFFICER - PUBLIC SERVICES ADMINISTRATION,"TORREY PINES STATE NATURAL RESERVE, CALIFORNIA",,,,,,
,,,,,,TRAIN CONDUCTOR - RAIL TRANSPORT,TOTEM POLE,,,,,,
,,,,,,TRAIN DRIVER - RAIL TRANSPORT,TOURNEY FIELD / TOURNAMENT FIELD,,,,,,
,,,,,,TRAIN MAINTENANCE TECHNICIAN - RAIL TRANSPORT,"TOWER (+ BELL, CHAIN, CLOCK, GUARD, PEEL, SIEGE, SIGNAL, WATCH, WIZARD)",,,,,,
,,,,,,TRAINING OFFICER OR MANAGER - HUMAN RESOURCE MANAGEMENT,TOWER BRIDGE,,,,,,
,,,,,,TRANSLATOR - LANGUAGES,TOWER OF LONDON,,,,,,
,,,,,,TRAVEL AGENCY MANAGER - TRAVEL AND TOURISM,TOWN,,,,,,
,,,,,,TRAVEL CONSULTANT - TRAVEL AND TOURISM,TOWN HALL,,,,,,
,,,,,,TV OR FILM DIRECTOR - MEDIA AND BROADCASTING,TOY STORE,,,,,,
,,,,,,TV OR RADIO PRESENTER - MEDIA AND BROADCASTING,TRADE FAIR STAND,,,,,,
,,,,,,TYRE OR EXHAUST FITTER - VEHICLE MAINTENANCE AND REPAIR,TRADE ROUTE,,,,,,
,,,,,,UPHOLSTERER - FURNITURE,TRADING POST,,,,,,
,,,,,,USER EXPERIENCE (UX) DESIGNER - WEB AND MULTIMEDIA,TRAIN,,,,,,
,,,,,,VEHICLE BODY REPAIRER - VEHICLE MAINTENANCE AND REPAIR,"TRAINING GROUNDS, PARADE GROUNDS",,,,,,
,,,,,,VEHICLE BREAKDOWN ENGINEER - VEHICLE MAINTENANCE AND REPAIR,"TRAINING HALL, DOJO, SPARRING HALL",,,,,,
,,,,,,VEHICLE MET TECHNICIAN - VEHICLE MAINTENANCE AND REPAIR,TRAM,,,,,,
,,,,,,VEHICLE PARTS ADVISOR - VEHICLE MAINTENANCE AND REPAIR,TRAVEL AGENT,,,,,,
,,,,,,VEHICLE SALESPERSON - RETAIL AND SALES,TREE HOUSE,,,,,,
,,,,,,VEHICLE SPRAY PAINTER - VEHICLE MAINTENANCE AND REPAIR,TREE TOWN,,,,,,
,,,,,,VETERINARY NURSE - WORK WITH ANIMALS,TRENCH (+ SPIKED),,,,,,
,,,,,,VETERINARY SURGEON - WORK WITH ANIMALS,TRUCK STOP,,,,,,
,,,,,,VISITOR ATTRACTION MANAGER - TRAVEL AND TOURISM,"TSARSKOYE SELO (CATHERINE PALACE), ST PETERSBURG, RUSSIA",,,,,,
,,,,,,VISITOR SERVICES ADVISOR - TRAVEL AND TOURISM,TUNNEL,,,,,,
,,,,,,VISUAL MERCHANDISER - INTERIOR DESIGN OR DISPLAY - RETAIL AND SALES,U.S. SPACE & ROCKET CENTER,,,,,,
,,,,,,WAITER OR WAITRESS - HOSPITALITY,UNDERTAKER,,,,,,
,,,,,,WALL AND FLOOR TILER - CONSTRUCTION CRAFTS,UNION STATION,,,,,,
,,,,,,WARDEN OR HOUSING SUPPORT OFFICER - SHELTERED HOUSING - SOCIAL WORK OR SOCIAL CARE,UNIVERSAL STUDIOS,,,,,,
,,,,,,"WARDROBE ASSISTANT - FILM, TV OR THEATRE - DRAMA AND THEATRE TECHNOLOGY - MEDIA AND BROADCASTING",UNIVERSITY,,,,,,
,,,,,,WAREHOUSE OPERATIVE - DISTRIBUTION,"UNIVERSITY (+ ALCHEMIST, ARCANE, ARTIFICER’S, BARDS, HEALERS, MAGES, NAVAL, OF SCIENCE, ROYAL)",,,,,,
,,,,,,WASTE ENERGY ENGINEER - OFFSHORE AND ENERGY,UPHOLSTERY SHOP,,,,,,
,,,,,,WATCH AND CLOCK REPAIRER - PERSONAL SERVICES,US BOTANIC GARDEN,,,,,,
,,,,,,WATER OR WASTE WATER NETWORK OPERATIVE - CIVIL AND STRUCTURAL ENGINEERING,USA,,,,,,
,,,,,,WATER OR WASTE WATER TREATMENT OPERATIVE - CIVIL AND STRUCTURAL ENGINEERING,USS ARIZONA MEMORIAL,,,,,,
,,,,,,WATERWAY OPERATIVE - SEA TRANSPORT,USS CONSTITUTION,,,,,,
,,,,,,WEB DESIGNER - WEB AND MULTIMEDIA,USS MIDWAY,,,,,,
,,,,,,WEB DEVELOPER - WEB AND MULTIMEDIA,VAULT,,,,,,
,,,,,,WELDER - MECHANICAL AND MANUFACTURING ENGINEERING (INCLUDING FABRICATION AND WELDING),VENICE BEACH,,,,,,
,,,,,,WIND TURBINE TECHNICIAN - OFFSHORE AND ENERGY,VERSAILLES,,,,,,
,,,,,,WINDOW CLEANER - PROPERTY SERVICES,VICKSBURG NATIONAL MILITARY PARK,,,,,,
,,,,,,WINDOW FITTER - CONSTRUCTION CRAFTS,VICTORIA FALLS,,,,,,
,,,,,,WOOD MACHINIST - FURNITURE,VIDEO STORE,,,,,,
,,,,,,WRITER,VIETNAM VETERANS MEMORIAL,,,,,,
,,,,,,WRITER OR AUTHOR - PUBLISHING AND WRITING,VILLA (LARGE COUNTRY HOUSE / ESTATE),,,,,,
,,,,,,ZOOKEEPER - WORK WITH ANIMALS,VILLAGE,,,,,,
,,,,,,ZOOLOGIST - BIOLOGY - WORK WITH ANIMALS,VINEYARD,,,,,,
,,,,,,,WAIKIKI BEACH,,,,,,
,,,,,,,WAILING WALL,,,,,,
,,,,,,,WAIMEA CANYON,,,,,,
,,,,,,,"WALK OF FAME, HOLLYWOOD BLVD, CALIFORNIA",,,,,,
,,,,,,,"WALL (+ BARRIER, BREACHED, CITY, EARTHEN, GREAT, INNER, OUTER, SEA, STONE, TOWN)",,,,,,
,,,,,,,WALL STREET,,,,,,
,,,,,,,"WAREHOUSE, STOREHOUSE",,,,,,
,,,,,,,WASHINGTON MONUMENT,,,,,,
,,,,,,,WASHINGTON NATIONAL CATHEDRAL,,,,,,
,,,,,,,WATCH TOWER,,,,,,
,,,,,,,WATER MILL,,,,,,
,,,,,,,WATERFALL,,,,,,
,,,,,,,WAX MUSEUM,,,,,,
,,,,,,,"WELL (+ ARTESIAN, COVERED, DRY, HOUSE, OF MAGIC, WATER)",,,,,,
,,,,,,,WELL HOUSE,,,,,,
,,,,,,,WESTMINSTER ABBEY,,,,,,
,,,,,,,WHARF,,,,,,
,,,,,,,WHITE CLIFFS OF DOVER,,,,,,
,,,,,,,WHITE HOUSE,,,,,,
,,,,,,,WIG STORE,,,,,,
,,,,,,,WILDLIFE RESERVE,,,,,,
,,,,,,,WILLIS TOWER (SEARS TOWER),,,,,,
,,,,,,,WINDMILL,,,,,,
,,,,,,,WINDSOR CASTLE,,,,,,
,,,,,,,WINERY,,,,,,
,,,,,,,WINTER PALACE,,,,,,
,,,,,,,WORK CAMP,,,,,,
,,,,,,,WORKSHOP,,,,,,
,,,,,,,WORLD OF COCA-COLA,,,,,,
,,,,,,,WRIGHT BROTHERS NATIONAL MEMORIAL,,,,,,
,,,,,,,WRIGLEY FIELD,,,,,,
,,,,,,,YELLOWSTONE NATIONAL PARK,,,,,,
,,,,,,,YOSEMITE NATIONAL PARK,,,,,,
,,,,,,,"YURT (ROUND TENT COVERED IN SKINS OR FELT, USED BY NOMADS)",,,,,,
,,,,,,,ZEPPELIN,,,,,,
,,,,,,,ZIGGURAT,,,,,,
,,,,,,,ZION NATIONAL PARK,,,,,,
,,,,,,,"ZOO (MUNDANE, RARE, EXOTIC, MAGICAL, ALIEN - CREATURES)",,,,,,
